,NBH_ID,NBH_NAME,Median income,Income Level,Median home value,Total population age 25+ years with a bachelor's degree or higher,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households
196,59,Oak Park Southwest,32326,M,32450,48,78,1064,0,0,144,164,451
197,155,Sechrest,32026,M,109100,318,408,974,53,229,121,763,915
198,117,South Town Fork Creek,31476,M,58300,54,81,424,5,8,84,139,243
199,69,Manheim Park,31217,M,69250,72,104,634,0,137,116,255,373
200,22,North Blue Ridge,31153,M,41850,40,333,51,8,233,116,116,256
201,64,Knoches Park,30581,M,35040,34,62,677,0,63,74,225,357
202,156,Oakwood,30578,M,96100,302,707,1070,37,161,164,774,947
203,54,Ivanhoe Southeast,30139,M,37850,41,29,999,0,7,250,257,442
204,15,Pendleton Heights,29954,M,114520,83,207,388,46,211,100,258,343
205,130,Marlborough East,29765,M,74100,70,248,728,0,16,117,306,449
206,27,Wendell Phillips,29535,M,98333,89,30,642,0,98,109,326,466
207,35,Blue Valley Industrial,29241,M,41212,44,332,101,4,348,78,146,327
208,30,East Community Team South,29226,M,38200,24,99,364,0,263,135,148,282
209,154,Hidden Valley,29130,M,83100,286,1006,1167,21,94,207,786,980
210,51,Mount Hope,28942,M,37700,38,46,426,0,157,91,318,417
211,67,Center City,28527,M,59700,92,179,325,0,7,61,168,233
